date,time,type,direction,trigger_level,entry_price,orb_high,orb_low,orb_range,volume,rsi,confidence_score,confidence_level,breakout_pct,minutes_after_open
2025-08-15,2025-08-15 09:53:00,SHORT,TradeDirection.SHORT,576.61,576.5,579.84,576.61,3.230000000000018,53952,26.03406326033972,3.0,LOW,3.4055727554183597,23.0
2025-08-18,2025-08-18 09:51:00,SHORT,TradeDirection.SHORT,576.41,576.04,577.59,576.41,1.1800000000000637,70382,30.927835051547433,6.5,HIGH,31.355932203388527,21.0
2025-08-19,2025-08-19 10:28:00,SHORT,TradeDirection.SHORT,573.43,573.27,576.56,573.43,3.1299999999999955,123702,20.066889632105443,7.0,HIGH,5.111821086260971,58.0
2025-08-20,2025-08-20 09:51:00,SHORT,TradeDirection.SHORT,564.37,563.25,568.45,564.37,4.080000000000041,202478,13.167938931296845,7.0,HIGH,27.450980392156698,21.0
2025-08-21,2025-08-21 10:12:00,LONG,TradeDirection.LONG,565.08,565.23,565.08,562.32,2.759999999999991,42369,83.14606741573209,1.5,LOW,5.434782608694847,42.0
2025-08-22,2025-08-22 10:00:00,LONG,TradeDirection.LONG,566.39,569.37,566.39,563.27,3.1200000000000045,250670,74.73404255319173,3.0,LOW,95.51282051282097,30.0
2025-08-25,2025-08-25 10:01:00,LONG,TradeDirection.LONG,570.92,570.95,570.92,569.16,1.759999999999991,48727,74.18181818181992,2.5,LOW,1.7045454545503727,31.0
2025-08-26,2025-08-26 10:10:00,LONG,TradeDirection.LONG,570.98,571.0,570.98,568.81,2.1700000000000728,41712,67.33668341708474,5.5,MEDIUM,0.9216589861742461,40.0
